Input,Predicted,Actual
- How did it go?,<unk> <unk> ? ? ?,- कैसा रहा?
These men will stay here:,<unk> <unk> <unk> <unk> .,ये लोग यहाँ रहेंगे:
He's abandoning his entire fleet!,<unk> <unk> <unk> <unk> <unk> है,वह अपने पूरे बेड़े को छोड़ रहा है!
"No, let me see.","<unk> , मुझे मुझे सुनो .","नहीं, मुझे देखते हैं."
The silent silent partner.,<unk> <unk> <unk> <unk> <unk> <unk>,गुप-चुप साथी.
"- Come on, go.","<unk> , , , चलो",चलो जाओ।
Do you know him?,<unk> तुम्हें जानते जानते है ?,क्या तुम इसे जानते हो?
[ COUNTRY MUSIC PLAYING ],[ <unk> <unk> <unk> ],[देशसंगीतखेल]
I really can't say.,<unk> <unk> नहीं नहीं नहीं सकते सकते,मैं वास्तव में नहीं कह सकता.
"- What's wrong, Sanja?","<unk> <unk> <unk> , <unk> ?","- क्या है, सैंजा?"
I'm obviously not wanted here.,<unk> <unk> <unk> यहाँ नहीं नहीं नहीं .,साफ़ है मेरी यहाँ ज़रूरत नहीं।
I couldn't stop the mission.,<unk> हम नहीं नहीं नहीं नहीं .,मैं मिशन को रोकना नहीं चाहता था।
It's not in there.,<unk> <unk> नहीं नहीं है .,यह वहाँ में नहीं है.
I'LL GIVE YOU THE CASH.,<unk> <unk> <unk> <unk> <unk> <unk> <unk>,मैं पैसे दे देंगे.
© P@rM! NdeR M@nkÖÖ ™,© <unk> <unk> <unk> <unk>,©@ पीआर एम एन डी ईआर एम@ nkÖÖ 
"What are you doing, Templeton?","<unk> <unk> , हो कर रहे हैं ?","क्या कर रहे हो, टेम्पलटन?"
What have you got there?,<unk> <unk> <unk> <unk> ? ?,आप वहां क्या मिला है?
"Brand, co-pilot, you're up.","पायलट , तुम तुम तुम . .","Brand, तुम co-pilot की सीट पर आ जाओ ."
I did get one wrong.,<unk> एक <unk> <unk> . .,मैं एक गलती हुई।
"- Bye, Don Michele.",<unk> <unk> <unk> <unk> <unk> <unk>,"- बाय, डॉन मिशेल."
To save the world.,<unk> <unk> <unk> <unk>,दुनिया को बचाने के लिए.
Then you're in trouble.,<unk> <unk> <unk> <unk> में कर .,तो फिर तुम मुसीबत में होगे.
"Meeting fakes since morning, so...","<unk> <unk> <unk> , . . . .",सुबह से नकली लोगों से मिल रहा हूँ... इसलिए
I am so lucky.,<unk> <unk> <unk> . .,मैं बहुत भाग्यशाली हूँ।
Forest does not come back.,<unk> वापस वापस नहीं नहीं .,वन वापस नहीं आया है.
Commencing in 20 minutes.,<unk> में में <unk> <unk> <unk>,20 मिनट में शुरू होगा.
"You never looked better, man.","<unk> कभी कभी नहीं , नहीं नहीं",तुम एक गधा बुरा पसंद कर रहे हैं!
You would never hurt me.,<unk> मुझे नहीं नहीं नहीं नहीं .,तुम मुझे कभी चोट नहीं पहुँचा सकते।
Steal her from Rama!,<unk> <unk> <unk> <unk> <unk> !,राम से उसकी चोरी!
"Come on, they're the Five.","<unk> , वे <unk> <unk> हैं हैं",ये जांबाज़ पाँच हैं।
Out of the world.,<unk> <unk> <unk> <unk>,दुनिया से बाहर।
"What can we do, sir?","हम हम , सकते सकते सकते सकते सकते","हम श्रीमान, क्या कर सकते हैं?"
They don't like stoners.,<unk> <unk> <unk> नहीं नहीं नहीं .,उन्हें नशेड़ी पसंद नहीं हैं.
NOT ON THIS PHONE.,<unk> <unk> <unk> <unk> <unk> <unk>,नहीं इस फोन पर.
What will happen to us?,हम हम के लिए ? ?,हमारा क्या होगा?
Because we're sand they're flowers.,<unk> <unk> <unk> <unk> कर कर कर हैं,क्योंकि हम रेत कर रहे हैं... ... वे फूल रहे हैं.
Getting along is exhausting.,<unk> <unk> <unk> <unk> <unk> है,दोस्ताना व्यवहार बनाना काफ़ी थका देने वाला है।
Mom knew you were lying.,मैं तुम्हें पर पर कर कर ।,माँ को पता था कि तुम झूठ बोल रहे थे.
"- Come on, Meatlug!","<unk> <unk> , <unk> <unk> !","चलो, मीटलग!"
"(SIGHS) Man, you're aggravating.",( <unk> <unk> <unk> <unk> <unk> <unk> . .,"(आह) यार, तुम गुस्सा दिला रहे हैं."
It's New Year's Eve.,<unk> <unk> <unk> <unk> <unk> <unk> .,यह नए साल की शाम है.
I bet he stole that.,<unk> <unk> कि कि कि है .,इस लाइन को तुमने चुराया होगा
"Hey, you all right?","<unk> , , तुम , है ?","अरे, तुम ठीक हो?"
I can't really remember.,<unk> <unk> भी नहीं नहीं नहीं नहीं,मुझे सच में याद नहीं है.
"Now, come on, Tony.","<unk> , , , <unk> <unk>","अब, चलो भी, टोनी."
That's how he put it.,<unk> यह कि कि है है,यही वह कहता.
"One day, we were ambushed.","<unk> , , हम <unk> . . .","एक दिन, हम पर घात लगाकर हमला किया गया।"
What the hell was that?,कि कि कि था ?,वह क्या था?
Satellites en route to targets.,<unk> <unk> <unk> <unk> <unk> <unk>,लक्ष्य को उपग्रहों रास्ते में.
"Hey, Mr. Lady Man!",<unk> <unk> <unk> <unk> <unk> <unk>,"ए, श्री लेडी मैन!"
- What do you say?,<unk> तुम क्यों हो ? ?,- तुम्हें क्या लगता है?
Some mistakes cannot be pardoned.,<unk> <unk> <unk> नहीं नहीं सकते सकते .,कुछ गलतियों को माफ़ नहीं किया जा सकता।
What are you doing?,<unk> तुम कर कर हो हो,तुम ये क्या कर रहे हो ?
Get out of here!,<unk> से से बाहर ! !,चले जाओ यहाँ से!
Any news of Hori?,<unk> <unk> <unk> <unk> ?,होरी की कोई खबर?
"Silly girl, you scared me.","<unk> <unk> , तुम तुम तुम . .","मूर्ख लड़की, तुम मुझे डर लगता है।"
So who are you?,<unk> तुम हो हो ? ?,तो तुम कौन हो?
It's not the same.,<unk> भी भी नहीं नहीं है,एक ही बात नहीं।
How sad it feels...,<unk> . . . . .,कैसे दुख की बात है तो ऐसा लगता है...
"Look, it's Jade, right?","<unk> , यह , <unk> , है है","देखो, यह जेड, सही है?"
"""Sweetheart I swear on you.""",""" मैं मैं तुम पर तुम कसम हूँ ""","""जानेमन मैं तुम पर कसम खाता हूँ।"""
"Hurry up, before we're spotted","<unk> , हम <unk> <unk> <unk> कर हैं","जल्दी करो, इससे पहले कोई देख ले"
Data backup completely erased.,<unk> <unk> <unk> <unk> <unk> <unk>,डेटा बैकअप पूरी तरह से काट दिया था।
They're linen and cotton.,<unk> <unk> <unk> <unk> <unk> <unk> .,लिनन और कपास की हैं.
And Christian and Sofus.,<unk> <unk> और <unk> <unk> <unk>,और क्रिस्चियन और सोफुस.
S-Sansa... is she all right?,<unk> . . . . है है ?,एस Sansa ... वह सब सही है?
"Waller, we're almost there.","<unk> , हम , , हैं हैं .","वालर, हम लगभग वहाँ रहे हैं।"
This doesn't go unanswered!,<unk> <unk> <unk> नहीं <unk> !,इसका जवाब ज़रूर दिया जाएगा !
And so will I.,<unk> <unk> <unk> <unk> <unk>,और इसलिए मैं
"LOOK, IT SAYS ""MATE.""",<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,"देखो, यह ""मेट कहते हैं."""
You don't need to worry.,<unk> तेजी तेजी नहीं नहीं है,आपको चिंता करने की जरूरत नहीं है।
You don't need me anymore.,<unk> किसी नहीं नहीं नहीं नहीं ।,तुम मुझे अब और ज़रूरत नहीं है।
Year after year after year.,<unk> के के के के के के,साल दर साल दर साल।
No. I was sobering up.,<unk> <unk> <unk> <unk> .,"नहीं, मैं नशे से उबर रहा था ."
We'll leave by tomorrow.,<unk> <unk> <unk> <unk> .,हम कल ही सब छोड के चलते हैं.
"Guys, check it out.","<unk> , , चलो . .","दोस्तों, इसे देखो."
You can't meet here!,<unk> यहाँ नहीं नहीं नहीं सकते !,तुम यहाँ बैठक नहीं कर सकते!
- I looked it up.,<unk> <unk> <unk> <unk> . .,- मैंने वो देखा है .
"( rings, beeps )","( , , , ,","(अंगूठियां, बीप)"
"Jim, I'll get this one.","<unk> , <unk> <unk> <unk> <unk> .","जिम,मैंइस एक मिलजाएगा"
Like the sky crack open.,<unk> <unk> <unk> <unk> <unk> <unk>,आकाश की तरह खुला दरार।
Is that what you wanted?,<unk> <unk> क्या क्या क्या ? ?,यही चाहते थें न?
They must clot that blood.,<unk> <unk> <unk> <unk> . . .,वे कहते हैं कि खून का थक्का चाहिए।
I don't care about that.,<unk> <unk> नहीं नहीं नहीं है,मुझे परवाह नहीं।
You think I'm crazy.,<unk> <unk> <unk> <unk> <unk> . .,तुम्हें मैं सिरफिरा लगता हूँ।
The Russians made me this.,<unk> <unk> <unk> <unk> <unk> . .,रूसियों .. मुझे इस बना दिया!
"Yeah, so am I.","<unk> , , , .",मुझे भी।
Stay away from me!,मुझसे दूर दूर दूर ! !,मुझसे दूर रहो!
Move to West Corridor!,<unk> <unk> <unk> <unk> <unk> <unk>,पश्चिम कॉरिडोर के लिए कदम!
"Sean, Sean, you all right?","<unk> , , , , तुम ,",हम skewered नहीं.
Stop and let me ride,<unk> और और और हूँ,बंदकरोऔर मुझेसवारी
"This is nothing, really.","<unk> भी भी भी , , ,","यह कोई बड़ी बात नहीं है, सच में।"
It's not fucking fair!,<unk> <unk> नहीं नहीं है ! !,"यह उचित नहीं है, कमबख्त!"
Hit the bag together.,<unk> <unk> <unk> <unk> ।,एक साथ बैग मारो. मजेदार हो सकता है.
"I know, it's ridiculous.","<unk> <unk> , <unk> <unk> <unk> है","मुझे पता है, यह हास्यास्पद है."
Something greater than ourselves.,<unk> <unk> <unk> <unk> <unk> <unk>,आ रही है कुछ खुद से बड़ा.
The stench of death?,<unk> <unk> <unk> <unk> <unk>,मौत की बदबू?
"I know. Bullet ants, right?","<unk> <unk> <unk> <unk> , , है",मैं सही बुलेट चींटियों पता है।
It's what they done!,<unk> क्या क्या कर है !,यह किया है!
That girl and the wolves...,<unk> <unk> और <unk> के . .,वह लड़की और भेड़ियों...
The Führer would never approve.,<unk> <unk> <unk> <unk> नहीं नहीं नहीं,फ्यूरर कभी स्वीकार नहीं करेगा.
My parents tried to run...,<unk> के के के . . .,मेरे माता-पिता को चलाने की कोशिश की ...
Could you shave me?,<unk> <unk> <unk> <unk> <unk> ?,तुम मेरा सेव कर सकती हो?
"Sorry, what's your idea?","<unk> , क्या क्या क्या क्या ?","क्षमा करें, आपका क्या विचार है?"
I can not risk revealed.,<unk> <unk> <unk> <unk> नहीं कर सकते,मुझे पता चला जोखिम नहीं कर सकते हैं.
What happened to Omar?,<unk> <unk> <unk> <unk> ? ?,उमर को क्या हुआ?
"I thought I could, but.","<unk> <unk> भी , भी , . .","मैं मैं कर सकता था, लेकिन सोचा."
Mako is too inexperienced,<unk> <unk> <unk> <unk> है,Mako भी अनुभवहीन है
He has crinkly eyes.,<unk> <unk> <unk> <unk> है .,उसकी आँखें बहुत छोटी हैं।
Do not do that.,<unk> ऐसा नहीं नहीं .,ऐसा मत करो.
I got some money.,<unk> <unk> <unk> <unk> <unk> .,मुझे कुछ पैसे मिल गया.
"- Come on, fight back.","<unk> , , वापस वापस वापस .","- चलो, वापस लड़ो।"
we can hang out... together.,हम <unk> <unk> . . . . .,हम बाहर लटका कर सकते हैं ... एक साथ।
That's all that matters.,<unk> <unk> के के के है है,यही सब मायने रखता है
"""Don't come back."" I know.",""" <unk> <unk> पर <unk> <unk> . .","वापस मत आना।"" मुझे याद है।"
What should I do now?,<unk> अब <unk> चाहिए चाहिए चाहिए ?,अब मुझे क्या करना चाहिए?
( SOFT MUSIC ),( <unk> <unk> <unk> <unk>,(सॉफ्ट संगीत)
- We have four days.,<unk> महीने महीने <unk> <unk> .,~ हम चार दिनों की है ~.
This was my fathers collection.,<unk> <unk> <unk> <unk> <unk> <unk> .,यह मेरा पिता संग्रह था।
"- Yeah, there was that.","<unk> , मैं था . . .","हाँ, वह कारण भी था।"
- ( Pup cries ),( <unk> <unk> <unk> ),- (पिल्ला रोता)
Your fiancé is an asshat.,<unk> <unk> <unk> <unk> <unk> .,अपने मंगेतर एक asshat है।
Have you lost your mind?,<unk> अपने <unk> <unk> ? ?,आप अपने दिमाग खो दिया?
- Don't stay up.,<unk> नहीं नहीं नहीं .,- वहां ऊपर मत खड़े मत रहना .
How did you find out?,<unk> <unk> <unk> मिल ? ?,तुम्हें कैसे पता चला?
- Don't be long.,<unk> नहीं नहीं नहीं . .,ज़्यादा देर मत करना।
And once is enough!,एक एक के <unk> <unk> है,एक बार काफी है!
You can go now.,<unk> अब जा जा जा सकते,अब तुम जा सकते हो।
"Brice, what's the matter?","<unk> , क्या क्या है है","ब्राईस, क्या बात है?"
"But what's the point, Alexander?","<unk> क्या <unk> , क्या ?","लेकिन मुद्दा यह है, अलेक्जेंडर क्या है?"
We have to go.,<unk> के <unk> <unk> .,हमें जाना है!
It just slipped out.,<unk> <unk> <unk> <unk> <unk> .,मैंने गलती से बोल दीया
To the choppers now!,<unk> <unk> <unk> <unk> ! !,अब हेलिकॉप्टरों के लिए!
- Give me Lam-Lam!,<unk> <unk> पर,- लैम-लैम मुझे दो!
We have to go now.,अब <unk> के लिए लिए,हम अब जाना है.
They themselves are to blame.,<unk> <unk> <unk> <unk> <unk> . .,वे खुद दोषी हैं.
I wanna go home?,<unk> घर घर ले ?,मैं घर जाना चाहता हूं.
What do you believe?,आप तुम <unk> <unk> ? ?,आप क्या विश्वास करते हो?
"Two big, beautiful boys.","<unk> <unk> , , स्वागत ।","दो बड़े, सुंदर लड़कों."
Why are you here?,<unk> तुम यहाँ हो हो हो,-तुम यहां कैसे?
I was in her memories.,<unk> <unk> <unk> <unk> <unk> <unk> .,मैं उसकी यादों में था.
You're not suited up.,<unk> <unk> <unk> नहीं है . .,आप ऊपर अनुकूल नहीं हैं.
© P@rM! NdeR M@nkÖÖ ™,© <unk> <unk> <unk> <unk>,©@ पीआर एम nderएम@ nkÖÖ 
The police are not interested.,<unk> <unk> <unk> <unk> नहीं है .,पुलिसदिलचस्पीनहींहैं
- That guy whose wallet...,<unk> <unk> <unk> <unk> <unk> .,उस आदमी जिसका बटुए ...
- Are you crazy?,<unk> <unk> <unk> ? ?,- तुम पागल हो?
What a pleasant surprise.,<unk> <unk> <unk> <unk> <unk> .,कितना सुखद आश्चर्य है.
We'll get him back.,<unk> वापस वापस वापस जाना .,हम उन्हें वापस पा लेंगे।
You got me again.,<unk> मुझे <unk> <unk> <unk> .,तुम मुझे फिर से मिल गया.
You guys starting early?,<unk> <unk> <unk> <unk> <unk> ?,जल्दी शुरू तुम लोग?
There's a back door.,<unk> <unk> के <unk> <unk> है,एक पिछला दरवाजा है.
Or someone you love?,<unk> मैं मैं मैं हूँ हूँ,या फिर आप किसी को प्यार?
- You tell us.,<unk> <unk> से से .,- आप हमें बताये।
"Hey Jim, it's Sean.","<unk> <unk> , <unk> <unk> <unk> .","हेजिम,यह है शॉन"
We both are not married.,<unk> हम पर पर कर कर रहे,हम दोनों शादीशुदा नहीं हैं.
You are holding her back.,<unk> <unk> वापस वापस वापस कर .,आप उसे वापस पकड़ रहे हैं.
- This can't be happening.,<unk> नहीं नहीं नहीं . . .,- यह नहीं हो सकता।
"- Good day, sir.","<unk> दिन दिन , सर .","- अच्छा दिन है, सर."
H is father would ...,<unk> <unk> . . . .,उसके पिता ...
"Ain't that right, ese?","<unk> नहीं नहीं , नहीं , ? ?","सही है कि नहीं, ese है?"
"I'll file a lawsuit, simple.","<unk> <unk> <unk> , , पानी .","मैं, सरल एक मुकदमा दायर करेंगे."
Only for the moment.,<unk> के के लिए लिए,केवल इस पल के लिए.
"Right out front, sheriff.",<unk> <unk> <unk> <unk> <unk> <unk>,"सही बाहर सामने, प्रधान."
© P@rM! NdeR M@nkÖÖ ™,© <unk> <unk> <unk> <unk>,©पी@RMnderएम@nkÖÖ
It won't happen again.,<unk> <unk> <unk> नहीं नहीं नहीं .,ऐसा फिर नहीं होगा।
- l don't know.,मैं नहीं नहीं पता . .,-मैं नहीं जानती.
- ( choking ),( <unk> ) <unk>,वाह! - (घुट)
I don't have children.,<unk> पर पर नहीं नहीं है,मेरे बच्चे नहीं है.
"- Pelle's father, Lasse Karlsson.","<unk> <unk> <unk> , <unk> <unk> <unk>","- पेले के पिता, लेसे कार्लस्सन."
You can do this?,<unk> यह कर कर सकते हैं,आप यह कर सकते हैं?
"You knew it, right?","<unk> भी है , , , है",तुम्हें पता था न?
"You don't know Walker, John.","<unk> <unk> <unk> , <unk> <unk> <unk>",जॉन। वो डाइनोसॉर था।
Why should I help you?,<unk> उसे उसे मदद नहीं चाहिए ?,मैं क्यों तुम मदद करनी चाहिए?
Get her a visa.,<unk> <unk> <unk> <unk> <unk> <unk>,उसका वीज़ा बनवाओ।
I'm setting the charges.,<unk> <unk> <unk> <unk> .,मैं आरोपों स्थापित कर रहा हूँ।
It's a trifle slippery.,<unk> <unk> <unk> <unk> <unk> .,थोड़ी फिसलन है।
Koller's on the line.,<unk> <unk> <unk> है .,कोलर लाइन पर है.
They're bringing him back here.,<unk> यहाँ यहाँ वापस वापस . .,वे उसे यहाँ वापस ला रहे हैं.
He's good for nothing,<unk> के के के लिए लिए,वह कुछ भी नहीं के लिए अच्छा है
"You're the boss, Boss.","<unk> <unk> , <unk> <unk> .","आप बॉस, बॉस रहे हैं।"
We changed your medication.,<unk> <unk> <unk> <unk> <unk> <unk>,हमने तुम्हारी दवा बदल दी है.
"There, just dry yourself off.","<unk> , , , <unk> <unk> <unk> .","अब, बस अपने को सुखा लो."
- What brings you here?,<unk> <unk> <unk> <unk> <unk> ?,- आप यहाँ क्या लाता है?
"..all powerful, modest, thinker, prudent.","<unk> <unk> , , , , <unk> <unk> <unk> <unk> .","..all शक्तिशाली, मामूली, विचारक, विवेकी।"
Do me a favor.,<unk> <unk> <unk> <unk> <unk> .,मुझ पर एक एहसान करो।
Do you know this pirate?,आप <unk> <unk> <unk> <unk> है है,- केवल नाम पर - क्या आप इसकी तलाश करेंगे?
You've gotta abort his mission.,<unk> पांच से <unk> <unk> है है,आप गर्भपात अपने मिशन होगा है.
There's hundreds of them.,<unk> <unk> <unk> <unk> <unk> है,उनमें से सैकड़ों है.
"- Yes, of course.","<unk> , , . .","- हाँ, बिल्कुल."
Alphonse is on his way.,<unk> पांच <unk> <unk> पर है,अल्फोंस अपने रास्ते पर है.
My name is belle.,<unk> <unk> <unk> <unk> है .,मेरा नाम बेले है.
It opens new doors!,"<unk> , ! ! ! !",उससे नए रास्ते खुल जाएँगे!
Love is like that...,<unk> <unk> कि है . .,Love is like that...
Why didn't you sleep?,<unk> तुम्हें नहीं नहीं ? ?,तुम सोये क्यूँ नहीं ?
Who are these bums?,<unk> <unk> <unk> <unk> कर ?,ये लफंगे पता नहीं कौन है ?
Let's call his cell.,<unk> अपने <unk> <unk> <unk> है है,चलो अपने सेल फोन.
"No problem, make a call.","<unk> <unk> , , , , , .","कोई दिक्कत नहीं, फोन कर लो."
Should auld acquaintance be forgot,<unk> <unk> <unk> <unk> <unk> <unk>,परिचित भूल जा Auld चाहिए
For a drunken man.,<unk> <unk> <unk> <unk> <unk>,एक शराबी आदमी के लिए.
He let us go.,<unk> हमें दूर से . .,वह हम चलते हैं.
And it's working! It's working!,<unk> <unk> <unk> पर <unk> है ! ! !,और काम बन रहा है!
- Take my phone!,मेरे मेरी <unk> <unk> !,- मेरे फोन ले लो!
They're looking for me.,<unk> मुझे लिए लिए लिए रहे .,वे मेरे लिए देख रहे हैं.
She's just a little girl.,<unk> एक एक एक की है ।,-वो बच्ची है।
It's because of your hair?,<unk> <unk> के <unk> है है,तुम्हारे बालों के रंग के कारण?
Mount Sneffels is deceptively treacherous.,<unk> <unk> <unk> <unk> <unk> <unk>,माउंट Sneffels deceptively विश्वासघाती है.
Don't waste your time.,<unk> मेरे नहीं नहीं नहीं नहीं .,समय मत गँवाओ।
"Hi, welcome to Caesar's./ Hi.",<unk> <unk> <unk> <unk> <unk> <unk> .,"नमस्ते, आपका स्वागत है कैसर. / नमस्ते."
Get in here now.,<unk> <unk> <unk> <unk> . .,अब यहाँ से जाओ.
"You're that girl, aren't you?","<unk> <unk> , , , क्या रहे ? ?","आप उस लड़की हैं, आप नहीं कर रहे हैं?"
It's a very groovy mutation.,<unk> <unk> <unk> <unk> <unk> <unk> .,यह बहुत groovy उत्परिवर्तन है.
Now wait a minute!,एक मिनट मिनट के के !,वे करने के लिए कच्चे लोहे का ढलाई खाना छोड़ना चाहते हैं!
"Yes, everything is true.","<unk> , , , है है है","हाँ, सब कुछ सही है."
"Oh, look, a bridge.","<unk> , , , एक एक ।","देखो, ओह, एक पुल."
- (GRUNTING) - (LISA SCREAMS),( <unk> <unk> ) <unk>,- (घुरघुराना) - (लिसा चिल्लाती)
Lots of movie stars.,<unk> <unk> <unk> <unk> <unk> .,बहुत सारे फिल्मी सितारे.
Stay away from me.,<unk> दूर दूर दूर . .,मुझसे दूर रहो.
They do not deserve it.,<unk> यह नहीं नहीं नहीं नहीं .,वे इसके लायक नहीं है.
"- That asshole, Lars'.",<unk> <unk> <unk> <unk> <unk> <unk> <unk>,उस गधे लार्स की.
(BAN D PLAYING ILENE),( <unk> <unk> <unk> <unk> <unk> ),(प्रतिबंध डी खेल Ilene)
"That's a good boy, Ant-them.",वे दूर पर,"यह एक अच्छा लड़का है, चींटी--Thony है।"
How is this possible?,<unk> यह है है है ?,यह कैसे मुमकिन है?
"Antonio, he'll go with you.","<unk> , , तुम लिए देना .","एंटोनियो, वह तुम्हारे साथ जाएगा."
- What is it?,<unk> यह है है ?,-यह क्या है?
Enough time passes.? .,<unk> <unk> <unk> <unk> . .,समय के साथ.
We were going to testify.,<unk> <unk> के जा जा . .,हम गवाही देने के लिए जा रहे थे.
And your place is here.,<unk> <unk> <unk> यहाँ यहाँ . .,और तुम्हारा स्थान यहाँ है.
"- Of course, she was.","<unk> , , , था .",-यकीनन सही थीं।
I just saw your husband.,अपने आपकी आपकी बहन बहन <unk> .,मैं सिर्फ अपने पति को देखा.
You can't see anything.,<unk> भी भी नहीं नहीं नहीं .,आप कुछ भी नहीं देख सकता.
It's you fucking English.,<unk> <unk> <unk> <unk> <unk> . .,यह आप अंग्रेजी बकवास है.
Subs Provided By Worldwide7477,<unk> <unk> <unk> <unk> <unk>,Worldwide7477 द्वारा प्रदान सब्स
Bring in subject 35-C.,<unk> <unk>,विषय 35--सी में लाओ।
Thank you very much.,<unk> बहुत बहुत बहुत . .,बहुत-बहुत धन्यवाद.
Nap time in Sector G.,<unk> <unk> <unk> <unk> <unk> <unk>,सेक्टर जी में झपकी लेने का समय।
"Well, never mind this time.","<unk> , भी नहीं नहीं नहीं नहीं .","खैर, इस बार नहीं."
They're after Flag again.,<unk> <unk> के के के के के,वे ध्वज के बाद फिर से कर रहे हैं।
"I've got rights, you asshole!","<unk> <unk> , , <unk> <unk> ! !","मैं अधिकार, तुम गधे मिल गया है!"
"Vika, did you get that?","<unk> , तुम ऐसा तुम ? ?","Vika, आप मिला कि"
"There'll be no delays, Nearchus.","<unk> <unk> <unk> , <unk> <unk> <unk> .",", Nearchus कोई देरी नहीं होगी."
"It's a purse, okay?","<unk> <unk> <unk> , , , ?","यह एक पर्स, ठीक है?"
We aren't holding shit!,<unk> <unk> <unk> <unk> नहीं है !,हम गंदगी नहीं पकड़ रहे हैं!
You were a giant.,<unk> एक एक <unk> <unk> ।,आप एक विशाल थे.
- Tie him up again,<unk> <unk> <unk> से <unk>,- उसे फिर से टाई
"How you doing, all right?","तुम , , , , , , ?","तुम कैसे कर, सब सही?"
Get back in there!,<unk> <unk> <unk> <unk> <unk> !,-वापस अंदर चलो !
It looked like Stannis.,<unk> <unk> <unk> <unk> <unk> <unk>,यह Stannis कैसा दिखता था।
"Ten minutes, thank you!","<unk> , , , तुम ! !","दस मिनट, शुक्रिया!"
"No, you're late for work.","<unk> , आप के लिए लिए रहे रहे","नहीं, काम पर जाने के लिए देर हो रही है।"
- How could you...,<unk> <unk> . . .,- तुम कैसे ...
MUSIC: Enola Gay by OMD,<unk> <unk> <unk> <unk> <unk> <unk>,"वह मेरे आकार पर शर्मिंदा है, तो बहाना करता है मैं हूँ ही नहीं।"
Let's get something to eat.,<unk> <unk> <unk> <unk> <unk> है .,चलो कुछ खाने को मंगाते हैं.
"Well, you're fired, of course.","<unk> , , <unk> , , , . .","ठीक है, तुम निश्चित रूप से, निकाल रहे हैं।"
"Gentlemen, you heard the lady.","<unk> , , तुम , । ।","सज्जनो, आप महिला के बारे में सुना."
I got a cigar.,<unk> <unk> <unk> <unk> <unk> .,मैं एक सिगार है.
"Honestly, Amelia... it might.","<unk> , . . . . . .","ईमानदारी से, Amelia... ऐसा हो सकता है ."
2nd piece of good news,<unk> <unk> <unk> <unk> . .,अच्छी खबर के 2 टुकड़े
He can help us.,<unk> हम मदद मदद कर कर,वह हमारी मदद कर सकते हैं.
"Phil, just do something.","<unk> , , , कुछ . .","फिल, बस कुछ करो."
"Come on, you guys.","<unk> , , तुम , . .",चलो भी।
I don't wanna resterilized.,<unk> <unk> <unk> नहीं नहीं .,मैं resterilized नहीं चाहता.
- I'm supposed to go.,<unk> <unk> <unk> . .,~ मैं जाने के लिए कर रहा हूँ चाहिए अनुपस्थित.
It's got to be Lex.,<unk> <unk> <unk> <unk> है .,यह लेक्स हो गया है।
Can you hear us?,आप तुम आप <unk> हो ?,आप हमें सुन सकते हैं?
Which way to the toilet?,<unk> <unk> के के लिए ?,शौचालय कौन सा तरीका है?
"Sealed off, brick by brick.",<unk> <unk> <unk> <unk> <unk> <unk>,"सील बंद, एक एक ईंट तक."
It wouldn't be right.,<unk> नहीं नहीं नहीं . .,यह सही नहीं होगा.
We're not doing anything wrong.,<unk> भी भी भी नहीं नहीं नहीं .,हम कुछ भी ग़ैर-कानूनी नहीं कर रहे.
One minute and counting.,<unk> और और <unk> और <unk>,एक मिनट और गिनती शुरू।
"- Nah, she's all right.","<unk> , वह है है है है","- नहीं, वह सच में ठीक है।"
They can defend themselves.,<unk> <unk> <unk> कर कर कर,जागते रहो.
You think it's stolen stuff?,<unk> <unk> <unk> <unk> <unk> है है ?,तुम्हें लगता है कि सामान चोरी का है?
She's fond of stratagems.,<unk> <unk> <unk> <unk> <unk> .,उसे रणनीती बनाने में बहुत मज़ा आता है
They just took the convoy.,<unk> <unk> <unk> <unk> <unk> .,वे सिर्फ काफिले लिया.
Christian might have been.,<unk> <unk> <unk> कर है .,क्रिस्चियन हो सकता है.
You're a good man.,<unk> एक अच्छा एक है है,आप एक भले व्यक्ति हैं।
"IT'S NOT FOR EVERYONE, SON.",<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,"यह हर किसी के, बेटे के लिए नहीं है."
I get it. Alas.,<unk> <unk> <unk> <unk> <unk> .,मैं समझ गया.
Fasten your seat belt.,<unk> <unk> <unk> <unk> <unk> .,अपनी सीट बेल्ट बाँधो।
Kickbacks on his kickbacks.,<unk> <unk> <unk> <unk> <unk> .,रिश्वत पर उसकी रिश्वत.
"YOU LIKE CUBAN, DON'T YA?",<unk> <unk> <unk> <unk> <unk> <unk> ?,"आप क्यूबा, ​​ हां नहीं की तरह?"
"No, I'm good, thanks.","<unk> , , मैं , , .",मुझे सच में बहुत रोमांचक नहीं लगा।
"Always with the fingers, huh?","<unk> <unk> , , , ?","हमेशा उंगलियों के साथ, हुह?"
Don't challenge these stories.,<unk> <unk> <unk> <unk> नहीं <unk> .,इन कहानियों को चुनौती मत करो.
It's a play date!,<unk> <unk> <unk> <unk> <unk> है !,आज बच्चों के साथ खेलने का दिन है!
"It's Elias' dad, Christian.",<unk> <unk> <unk> <unk> <unk> <unk> <unk> .,"मैं एलियास का पिताजी हूं, क्रिस्चियन."
You get that tank..,<unk> <unk> <unk> <unk> <unk> .,वो टैंक लो
Day and a half maybe.,और और मैं के <unk> कर .,शायद डेढ़ दिन में।
